,Source,Target,Weight,shared_publications
103,uBFV6SUAAAAJ,lNM0S1kAAAAJ,1,['Narrative paths and negotiation of power in birth stories']
104,uBFV6SUAAAAJ,oJESe-cAAAAJ,1,['Quantifying the visual concreteness of words and topics in multimodal datasets']
105,uBFV6SUAAAAJ,5tk1PV8AAAAJ,2,"['Evaluation methods for unsupervised word embeddings', 'Short-term satisfaction and long-term coverage: Understanding how users tolerate algorithmic exploration']"
106,pOd2M64AAAAJ,h6jljQQAAAAJ,2,"['Approximating the smallest k‐edge connected spanning subgraph by LP‐rounding', 'Improved approximation algorithms for network design problems']"
107,pOd2M64AAAAJ,VX7d5EQAAAAJ,2,"['Node-disjoint paths on the mesh and a new trade-off in VLSI layout', 'Adversarial queuing theory']"
108,pOd2M64AAAAJ,zkvW8FQAAAAJ,1,"['Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques (APPROX/RANDOM 2014)']"
109,7fvHhzsAAAAJ,1z2uFcQAAAAJ,26,"['Exploratory Data Analysis', 'Copulas', 'Resampling', 'Spatiotemporal mixed modeling of multi-subject task fMRI via method of moments', 'Time-series models of dynamic volatility and correlation', 'Factor models and principal components', 'Portfolio selection', 'Correction to: Dynamic Shrinkage Processes', 'Multivariate Statistical Models', 'GARCH models', 'Modeling univariate distributions', 'Time series models: Basics', 'Time series models: Further topics', 'Regression: Basics', 'Dynamic shrinkage processes', 'Nonparametric regression and splines', 'A Bayesian multivariate functional dynamic linear model', 'Bayesian Data Analysis and MCMC', 'Dynamic Shrinkage Processes (vol 31, pg 781, 2019)', 'Functional autoregression for sparsely sampled data', 'Web-based Supplementary Materials for “Evaluating independent component analyses with an application to resting-state fMRI,” by Benjamin B. Risk, David S. Matteson', 'An evaluation of independent component analyses with an application to resting-state fMRI', 'Supplement to “A Bayesian Multivariate Functional Dynamic Linear Model”', 'Linear non-Gaussian component analysis via maximum likelihood', 'The Capital Asset Pricing Model', 'Cointegration']"
110,7fvHhzsAAAAJ,dsN90bwAAAAJ,1,['Master of Engineering (Nuclear)']
111,7fvHhzsAAAAJ,VX7d5EQAAAAJ,1,"['Books for review If you would like to review a book, and thereby to retain it for your collection, please contact the Book Reviews Editor, whose details can be found by …']"
112,7fvHhzsAAAAJ,m6pbDsoAAAAJ,1,['Bootstrap inference for quantile-based modal regression']
113,7fvHhzsAAAAJ,KIb4BKIAAAAJ,6,"[""Splines'n Lines: Rest-frame galaxy spectral energy distributions via Bayesian functional data analysis"", 'Multilevel Bayesian framework for modeling the production, propagation and detection of ultra-high energy cosmic rays', 'Guilt by Association: Finding Cosmic Ray Sources Using Hierarchical Bayesian Clustering', 'Simultaneously modelling far-infrared dust emission and its relation to CO emission in star-forming galaxies', 'Cepheid light curve demography via Bayesian functional data analysis', 'Light curve demography via Bayesian functional data analysis']"
114,1z2uFcQAAAAJ,dsN90bwAAAAJ,1,['Likelihood Inference for Possibly Non-Stationary Processes via Adaptive Overdifferencing']
115,1z2uFcQAAAAJ,ezjloXIAAAAJ,2,"['K-ARMA models for clustering time series data', 'Interpretable Latent Variables in Deep State Space Models']"
116,1z2uFcQAAAAJ,VCuHXdMAAAAJ,2,"['Interpretable vector autoregressions with exogenous time series', 'Sparse identification and estimation of large-scale vector autoregressive moving averages']"
117,3_WYcR4AAAAJ,sxjynOsAAAAJ,1,['Ancile: Enhancing privacy for ubiquitous computing with use-based privacy']
118,3_WYcR4AAAAJ,VrgmnEcAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
119,3_WYcR4AAAAJ,VX7d5EQAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
120,3_WYcR4AAAAJ,FsBCAfgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
121,3_WYcR4AAAAJ,IeqjwlIAAAAJ,4,"['How intention informed recommendations modulate choices: A field study of spoken word content', 'Immersive recommendation: News and event recommendations using personal digital traces', 'More than just words: Modeling non-textual characteristics of podcasts', 'DO NOT share--Under Peer Review']"
122,3_WYcR4AAAAJ,AH5j40kAAAAJ,1,['Ancile: Enhancing privacy for ubiquitous computing with use-based privacy']
123,3_WYcR4AAAAJ,HbFGylgAAAAJ,9,"['Large-scale network discovery: Design tradeoffs in wireless sensor systems', 'Modelling data-centric routing in wireless sensor networks', 'An empirical study of epidemic algorithms in large scale multihop wireless networks', 'An empirical study of epidemic algorithms in large scale multihop', 'The magazine archive includes every article published in Communications of the ACM for over the past 50 years.', 'Complex behavior at scale: An experimental study of low-power wireless sensor networks', 'The impact of data aggregation in wireless sensor networks', 'An Empirical Study of Epidemic Algorithms in Large Scale Multihop Wireless Networks Deepak Ganesan, Bhaskar Krishnamachari, Alec Woo', 'Publicity Co-chair']"
124,3_WYcR4AAAAJ,-pyztDMAAAAJ,4,"['Understanding Mental Health Clinicians’ Perceptions and Concerns Regarding Using Passive Patient-Generated Health Data for Clinical Decision-Making: Qualitative Semistructured …', 'A call for open data to develop mental health digital biomarkers', 'Leveraging multi-modal sensing for mobile health: a case review in chronic pain', 'Beyond Detection: Towards Actionable Sensing Research in Clinical Mental Healthcare']"
125,3_WYcR4AAAAJ,Iiut4KYAAAAJ,1,['CCC Workshop on Computer Science and Global Development']
126,3_WYcR4AAAAJ,5tk1PV8AAAAJ,1,['Data Science for Processing Networks']
127,3_WYcR4AAAAJ,kjYhZYwAAAAJ,1,['Designing extended reality guidance for physical caregiving tasks']
128,LV1qWjgAAAAJ,sxjynOsAAAAJ,2,"['Language-based security for malicious mobile code', 'Theory of computation']"
129,LV1qWjgAAAAJ,Dswus94AAAAJ,2,"['Language-based security for malicious mobile code', 'Frederick W. Smith']"
130,LV1qWjgAAAAJ,4Z6vo5QAAAAJ,6,"['A Subsidiary of Harcourt Brace Jovanovich, Publishers New York London San Diego San Francisco S~ o Paulo Sydney Tokyo Toronto', 'GALLIER, JEAN H., 25', 'EDITOR"" Albert R. Meyer ADVISORY BOARD', 'Pushdown Automata', 'Paris Toronto', 'San Diego Orlando New York Austin Boston London Sydney Tokyo Toronto']"
131,LV1qWjgAAAAJ,FsBCAfgAAAAJ,3,"['Conference Organisers', 'General Chair Conference Co-Chairs Publicity Chair Workshops Chair', 'San Diego Orlando New York Austin Boston London Sydney Tokyo Toronto']"
132,LV1qWjgAAAAJ,HsfKE0sAAAAJ,2,"['Scalable verification of probabilistic networks', 'Guarded Kleene algebra with tests: verification of uninterpreted programs in nearly linear time']"
133,LV1qWjgAAAAJ,AH5j40kAAAAJ,11,"['Concurrent NetKAT: Modeling and analyzing stateful, concurrent networks', 'Probabilistic netkat', 'Cantor meets Scott: Domain-theoretic foundations for probabilistic network programming', 'Guarded Kleene Algebra with Tests', 'Guarded Kleene algebra with tests: verification of uninterpreted programs in nearly linear time', 'Cantor meets Scott: semantic foundations for probabilistic networks', 'NetKAT: Semantic foundations for networks', 'Scalable verification of probabilistic networks', 'Probabilistic Program Equivalence for NetKAT', 'A coalgebraic decision procedure for NetKAT', 'Formal abstractions for packet scheduling']"
134,iQPFZ_sAAAAJ,g_ayYI0AAAAJ,2,"['Discursive objection strategies in online comments: Developing a classification schema and validating its training', 'Standing up to problematic content on social media: which objection strategies draw the audience’s approval?']"
135,iQPFZ_sAAAAJ,l3ZT5GkAAAAJ,2,"['Discursive objection strategies in online comments: Developing a classification schema and validating its training', 'Standing up to problematic content on social media: which objection strategies draw the audience’s approval?']"
136,h6jljQQAAAAJ,4Z6vo5QAAAAJ,1,['Foundations of data science']
137,h6jljQQAAAAJ,VX7d5EQAAAAJ,33,"['Influential nodes in a diffusion model for social networks', 'Ordered submodularity and its applications to diversifying recommendations', 'Trading networks with price-setting agents', '算法设计', 'Approximations for the Disjoint Paths Problem', 'Calibrated recommendations for users with decaying attention', 'Which networks are least susceptible to cascading failures?', 'Strategic network formation with structural holes', 'Maximizing the Spread of Influence through a social', 'アルゴリズムデザイン', 'Maximizing the spread of influence through a social network', 'Disjoint paths in densely embedded graphs', 'Algorithm Design, 2006', 'Allocating bandwidth for bursty connections', 'Maximizing the spread of influence in a social network', 'Introduction to computer science and economic theory', 'Fairness in routing and load balancing', 'Algorithm design', 'Maximizing the spread of influence throw a social network', 'Introduction to algorithms', 'The price of stability for network design with fair cost allocation', 'COMBINATORIAL OPTIMIZATION', 'Algorithm Design', 'DATA STRUCTURE AND ANALYSIS OF ALGORITHMS-Approximation Algorithms for Classification Problems with Pairwise Relationships: Metric Labeling and Markov Random Fields', 'Polarization in geometric opinion dynamics', 'Modeling reputation-based behavioral biases in school choice', 'Adversarial perturbations of opinion dynamics in networks', 'with Decaying Attention', 'Network formation in the presence of contagious risk', 'Foundations of data science', 'Approximations for the disjoint paths problem in high-diameter planar networks', 'Approximation algorithms for classification problems with pairwise relationships: Metric labeling and Markov random fields', 'Algorithmic Decision Making (ADM)']"
138,h6jljQQAAAAJ,FsBCAfgAAAAJ,1,['Paying to do better: Games with payments between learning agents']
139,h6jljQQAAAAJ,nX9D5AoAAAAJ,3,"['Fast convergence of common learning algorithms in games', 'Small-loss bounds for online learning with partial information', 'Learning in games: Robustness of fast convergence']"
140,h6jljQQAAAAJ,EPQuuHMAAAAJ,4,"['Introduction to computer science and economic theory', 'Trading networks with price-setting agents', 'Network formation in the presence of contagious risk', 'Which networks are least susceptible to cascading failures?']"
141,h6jljQQAAAAJ,8Lp0W54AAAAJ,1,['Globally optimal pixel labeling algorithms for tree metrics']
142,h6jljQQAAAAJ,zkvW8FQAAAAJ,9,"['CS 4820: Limits of Computability', 'Load balancing without regret in the bulletin board model', 'Smooth online mechanisms: A game-theoretic problem in renewable energy markets', 'Network formation in the presence of contagious risk', 'Introduction to computer science and economic theory', 'Beyond the Nash Equilibrium Barrier.', 'Which networks are least susceptible to cascading failures?', 'Multiplicative updates outperform generic no-regret learning in congestion games', 'Learning in budgeted auctions with spacing objectives']"
143,h6jljQQAAAAJ,_kqpoHIAAAAJ,3,"['Allocating Public Goods via Dynamic Max-Min Fairness: Long-Run Behavior and Competitive Equilibria', 'Robust pseudo-markets for reusable public resources', 'Online resource sharing via dynamic max-min fairness: efficiency, robustness and non-stationarity']"
144,vQrFgocAAAAJ,dsN90bwAAAAJ,1,['THE ANNALS']
145,vQrFgocAAAAJ,0et-ZhgAAAAJ,1,['ENCAPP: elastic-net-based prognosis prediction and biomarker discovery for human cancers']
146,vQrFgocAAAAJ,Rxm_97EAAAAJ,40,"['Prediction under latent factor regression: Adaptive pcr, interpolating predictors and beyond', 'A note on penalized minimum distance estimation in nonparametric regression', 'Optimal selection of reduced rank estimators of high-dimensional matrices', 'ENCAPP: elastic-net-based prognosis prediction and biomarker discovery for human cancers', 'Interpolation under latent factor regression models', 'Likelihood estimation of sparse topic distributions in topic models and its applications to wasserstein document distance calculations', 'Spades and mixture models', 'Overlapping variable clustering with statistical guarantees', 'Sparse Density Estimation with ℓ1 Penalties', 'Interpolating predictors in high-dimensional factor regression', 'A fast algorithm with minimax optimal guarantees for topic models with an unknown number of topics', 'SLIDE: significant latent factor interaction discovery and exploration across biological domains', 'LOW-DIMENSIONAL STRUCTURE IN HIGH-DIMENSIONAL SYSTEMS 2013–2014 SAMSI PROGRAM REPORT, DECEMBER 2014', 'SPADES and mixture models', 'Sparse density estimation with  penalties', 'Sparsity oracle inequalities for the Lasso', 'Learning large softmax mixtures with warm start EM', 'Inference in latent factor regression with clusterable features', 'Two‐stage model selection procedures in partially linear regression', 'Adaptive inference for the mean of a stochastic process in functional data', 'Supplement to “Inference in latent factor regression with clusterable features.”', 'Adaptive rank penalized estimators in multivariate regression', 'Consistent variable selection in high dimensional regression via multiple testing', 'Supplement to “Adaptive estimation in structured factor models with applications to overlapping clustering.”', 'The consistency of the FDR estimator', 'CausER-a framework for inferring causal latent factors using multi-omic human datasets', 'Optimal estimation of sparse topic models', 'Prediction in latent factor regression: Adaptive pcr and beyond', 'Essential regression: a generalizable framework for inferring causal latent factors from multi-omic datasets', 'Detecting approximate replicate components of a high-dimensional random vector with latent structure', 'Inference in interpretable latent factor regression models', 'Joint variable and rank selection for parsimonious estimation of high-dimensional matrices', 'Supplement to “A fast algorithm with minimax optimal guarantees for topic models with an unknown number of topics”', 'Adaptive estimation in structured factor models with applications to overlapping clustering', 'Aggregation and Sparsity Via ℓ1 Penalized Least Squares', 'Functional classification in Hilbert spaces', 'Supplement to “Detecting approximate replicate components of a high-dimensional random vector with latent structure.”', 'Adaptive inference for the mean of a Gaussian process in functional data', 'Aggregation for Gaussian regression', 'Aggregation for regression learning']"
147,PxZT1sgAAAAJ,uJ4q1wcAAAAJ,1,['Biogotchi! An exploration of plant-based information displays']
148,PxZT1sgAAAAJ,QJwabfEAAAAJ,1,['WovenProbe: Probing possibilities for weaving fully-integrated on-skin systems deployable in the field']
149,PxZT1sgAAAAJ,pfBh4zEAAAAJ,4,"['Regulating feelings during interpersonal conflicts by changing voice self-perception', 'EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions', 'ReMotion: Supporting Remote Collaboration in Open Space with Automatic Robotic Embodiment', 'Supporting Face-to-Face Like Communication Modalities for Asynchronous Assignment Feedback in Math Education']"
150,PxZT1sgAAAAJ,6c5cf1wAAAAJ,1,['Design within a patriarchal society: Opportunities and challenges in designing for rural women in bangladesh']
151,PxZT1sgAAAAJ,llo3F3QAAAAJ,3,"['Printing arbitrary meshes with a 5DOF wireframe printer', 'Weavecraft: an interactive design and simulation tool for 3D weaving.', 'On-the-fly print: Incremental printing while modelling']"
152,PxZT1sgAAAAJ,-pyztDMAAAAJ,4,"['Regulating feelings during interpersonal conflicts by changing voice self-perception', 'EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions', 'EmotionCheck: A wearable device to regulate anxiety through false heart rate feedback', 'Boostmeup: Improving cognitive performance in the moment by unobtrusively regulating emotions with a smartwatch']"
153,PxZT1sgAAAAJ,e0IL7_MAAAAJ,2,"['SplatOverflow: Asynchronous Hardware Troubleshooting', 'OriStitch: A Machine Embroidery Workflow to Turn Existing Fabrics into Self-Folding 3D Textiles']"
154,sxjynOsAAAAJ,Dswus94AAAAJ,5,"['Certified in-lined reference monitoring on. net', 'A language-based approach to security', 'Language-based security for malicious mobile code', 'Computability classes for enforcement mechanisms', 'Certified in-lined reference monitoring on']"
155,sxjynOsAAAAJ,0zrqo3B-66wC,1,"['Software Defining System Devices with the"" Banana""{Double-Split} Driver Model']"
156,sxjynOsAAAAJ,I-rKkyEAAAAJ,5,"['Transparent fault tolerant computer system', 'Viewpoint program committee overload in systems', 'The monoculture risk put into context', 'Engineering: Cornell Quarterly, Vol. 20, No. 2 (Autumn 1985): Twenty Years of Computer Science at Cornell', 'REACHING AGREEMENT']"
157,sxjynOsAAAAJ,TIGS4c8AAAAJ,1,['A graphical interface for CHIP']
158,sxjynOsAAAAJ,AH5j40kAAAAJ,2,"['Causal network telemetry', 'Ancile: Enhancing privacy for ubiquitous computing with use-based privacy']"
159,dsN90bwAAAAJ,4Z6vo5QAAAAJ,2,"['Sign stable projections, sign cauchy projections and chi-square kernels', 'Sign cauchy projections and chi-square kernel']"
160,uJ4q1wcAAAAJ,yI3u1fcAAAAJ,4,"['Visualizing language use in team conversations: designing through theory, experiments, and iterations', 'Feedback for guiding reflection on teamwork practices', 'Cutting into collaboration: Understanding coordination in distributed and interdisciplinary medical research', 'Visualizing real-time language-based feedback on teamwork behavior in computer-mediated groups']"
161,uJ4q1wcAAAAJ,waote-8AAAAJ,1,"[""It's time to eat! Using mobile games to promote healthy eating""]"
162,uJ4q1wcAAAAJ,g_ayYI0AAAAJ,1,"['"" I was really, really nervous posting it"" Communicating about Invisible Chronic Illnesses across Social Media Platforms']"
163,uJ4q1wcAAAAJ,6c5cf1wAAAAJ,8,"['Technologies for reflection', 'The disenchantment of affect', 'Experience as interpretation', 'Opening the frame of the art museum: Technology between art and tool', 'Treading uncommon ground: Designing for new shared experiences through appropriation', 'Affective presence in museums: Ambient systems for creative expression', 'Graduate Study in Information Science at Cornell University', 'Culturally embedded computing']"
164,uJ4q1wcAAAAJ,HbFGylgAAAAJ,1,['Networks of sensors in public spaces: Combining technology with art']
165,uJ4q1wcAAAAJ,-pyztDMAAAAJ,17,"['Making things visible: Opportunities and tensions in visual approaches for design research and practice', 'In Situ Design for Mental Illness: Addressing the Pathology of Bipolar Disorder in mHealth Design', 'Tracking mental well-being: Balancing rich sensing and patient needs', 'Automatic detection of social rhythms in bipolar disorder', 'In situ design for mental illness: Considering the pathology of bipolar disorder in mhealth design', 'Feasibility and acceptability of mobile phone–based auto-personalized physical activity recommendations for chronic pain self-management: Pilot study on adults', 'Cognitive rhythms: Unobtrusive and continuous sensing of alertness using a mobile phone', 'Towards circadian computing: "" early to bed and early to rise"" makes some of us unhealthy and sleep deprived', 'Moodrhythm: tracking and supporting daily rhythms', 'Detecting and capitalizing on physiological dimensions of psychiatric illness', 'Keppi: A tangible user interface for self-reporting pain', 'Social (media) jet lag', 'Mobile manifestations of alertness: Connecting biological rhythms with patterns of smartphone app use', 'Biological rhythms and technology', 'Towards personal stress informatics comparing minimally invasive techniques for measuring daily stress in the wild', 'Development and evaluation of a smartphone-based measure of social rhythms for bipolar disorder', 'Social (media) jet lag: How usage of social technology can modulate and reflect circadian rhythms']"
166,uJ4q1wcAAAAJ,5tk1PV8AAAAJ,7,"['Evaluating the accuracy of implicit feedback from clicks and query reformulations in web search', 'Eye tracking and online search: Lessons learned and challenges ahead', 'In google we trust: Users decisions on rank, position and relevancy', 'In Google we trust: Users’ decisions on rank, position, and relevance', 'The influence of task and gender on search and evaluation behavior using Google', 'Accurately interpreting clickthrough data as implicit feedback', 'Eye-tracking analysis of user behavior in WWW search']"
167,yI3u1fcAAAAJ,6c5cf1wAAAAJ,3,"['Technology and Life in the Fast Lane', '"" I lie to myself that i have freedom in my own schedule"" productivity tools and experiences of busyness', 'In-car gps navigation: engagement with and disengagement from the environment']"
168,yI3u1fcAAAAJ,QpG20J0AAAAJ,4,"['Supporting intercultural collaboration with dynamic feedback systems: preliminary evidence from a creative design task', 'Effects of Visualization and Note-taking on Sensemaking and Analysis', ""Leveraging partner's insights for distributed collaborative sensemaking"", 'Effects of implicit sharing in collaborative analysis']"
169,Dswus94AAAAJ,AH5j40kAAAAJ,1,['Leapfrog: certified equivalence for protocol parsers']
170,ZocLOAMAAAAJ,duOys3YAAAAJ,9,"['Formalizing and Guaranteeing Human-Robot Interaction As robots begin to interact closely with humans, we need to build systems worthy of trust regarding the safety and quality …', 'Human-Robot Handovers with Signal Temporal Logic Specifications', 'Nudging or waiting? automatically synthesized robot strategies for evacuating noncompliant users in an emergency situation', 'Malevolent machine learning', 'Specifying and synthesizing human-robot handovers', 'Formalizing and guaranteeing human-robot interaction', 'Verification and synthesis of human-robot interaction (Dagstuhl Seminar 19081)', 'Designing a Soft, Mobile Interface for Multimodal Human-Robot Interaction', 'Timing-specified controllers with feedback for human-robot handovers']"
171,ZocLOAMAAAAJ,ESJILIEAAAAJ,2,"['Designing a Soft, Mobile Interface for Multimodal Human-Robot Interaction', 'Nudging or waiting? automatically synthesized robot strategies for evacuating noncompliant users in an emergency situation']"
172,ZocLOAMAAAAJ,X1zsXTgAAAAJ,1,['Inferring human intent and predicting human action in human–robot collaboration']
173,ZocLOAMAAAAJ,kjYhZYwAAAAJ,3,"['Designing robots with movement in mind', 'What robots need from clothing', 'Design skills for HRI']"
174,oBldxf0AAAAJ,XuQW7ogAAAAJ,1,"[""Who's Waldo? Linking People Across Text and Images""]"
175,duOys3YAAAAJ,ESJILIEAAAAJ,3,"['Designing a Soft, Mobile Interface for Multimodal Human-Robot Interaction', 'Errors in collective robotic construction', 'Nudging or waiting? automatically synthesized robot strategies for evacuating noncompliant users in an emergency situation']"
176,duOys3YAAAAJ,e1iAhHQAAAAJ,32,"['Efficiently Finding Optimal Winding-Constrained Loops in the Plane', 'Experimental Evaluation and Formal Analysis of High‐Level Tasks with Dynamic Obstacle Anticipation on a Full‐Sized Autonomous Vehicle', 'Experiments with Balancing on Irregular Terrains using the Dreamer Mobile Humanoid Robot.', 'Towards A Swarm of Agile Micro Quadrotors', 'FFT-Based Terrain Segmentation for Underwater Mapping', 'Real-Time Inverse Dynamics Learning for Musculoskeletal Robots Based on Echo State Gaussian Process Regression', 'On Stochastic Optimal Control and Reinforcement Learning by Approximate Inference', 'Execution and analysis of high-level tasks with dynamic obstacle anticipation', 'Reducing Conservativeness in Safety Guarantees by Learning Disturbances Online: Iterated Guaranteed Safe Online Learning', 'Variational Bayesian optimization for runtime risk-sensitive control', 'Development of a Testbed for Robotic Neuromuscular Controllers', 'Exploiting passive dynamics with variable stiffness actuation in robot brachiation', 'An integrated system for perception-driven autonomy with modular robots', 'Affine Trajectory Deformation for Redundant Manipulators', 'Failure Anticipation in Pursuit-Evasion', 'Optimal Control with Weighted Average Costs and Temporal Logic Specifications', 'Distributed, collaborative human-robotic networks for outdoor experiments in search, identify and track', 'E-Graphs: Bootstrapping Planning with Experience Graphs', 'Inference on Networks of Mixtures for Robust Robot Mapping', 'Probabilistic Temporal Logic for Motion Planning with Resource Threshold Constraints', 'Robust Object Grasping Using Force Compliant Motion Primitives', 'Visual Route Recognition with a Handful of Bits', 'Contextual Sequence Prediction with Application to Control Library Optimization', 'Hierarchical Motion Planning in Topological Representations', 'Feature-based prediction of trajectories for socially compliant navigation', 'Perception-informed autonomous environment augmentation with modular robots', 'Nonparametric Bayesian Models for Unsupervised Scene Analysis and Reconstruction', ""What's in the Bag: A Distributed Approach to 3D Shape Duplication with Modular Robots"", 'Minimal Coordinate Formulation of Contact Dynamics in Operational Space', 'Time-Optimal Trajectory Generation for Path Following with Bounded Acceleration and Velocity', 'Towards Persistent Localization and Mapping with a Continuous Appearance-Based Topology', 'Robust Navigation Execution by Planning in Belief Space']"
177,0et-ZhgAAAAJ,Rxm_97EAAAAJ,1,['ENCAPP: elastic-net-based prognosis prediction and biomarker discovery for human cancers']
178,0zrqo3B-66wC,I-rKkyEAAAAJ,16,"['The NEBULA Future Internet Architecture', 'Optimizing Power Consumption in Large Scale Storage Systems.', 'Router Reliability Research (R3)', 'Maelstrom: Transparent Error Correction for Lambda Networks.', 'The nebula future internet architecture', 'X1: Commodity Clusters with Real-Time Reflexes', 'Models and Methodologies', 'A brief overview of the NEBULA future internet architecture', 'Integrated approach to data center power management', 'Empirical characterization of uncongested optical lambda networks and 10gbe commodity endpoints', 'Instrumentation for exact packet timings in networks', 'Maelstrom: transparent error correction for communication between data centers', 'Beyond power proportionality: Designing power-lean cloud storage', 'Empirical Characterization of Uncongested Lambda Networks and 10GbE Commodity Endpoints', 'Exact temporal characterization of 10 Gbps optical wide-area network', 'Smoke and Mirrors: Reflecting Files at a Geographically Remote Location Without Loss of Performance.']"
179,0zrqo3B-66wC,TIGS4c8AAAAJ,1,['Models and Methodologies']
180,0zrqo3B-66wC,AH5j40kAAAAJ,2,"['P4FPGA', 'P4fpga: A rapid prototyping framework for p4']"
181,0zrqo3B-66wC,6c5cf1wAAAAJ,5,"['Seamless visions, seamful realities: anticipating rural infrastructural fragility in early design of digital agriculture', 'Analyzing abstraction in critical agri-food studies and computer science: toward interdisciplinary analysis of digital agriculture innovation', 'Paradoxes in Producing the Future of Farm Work: Anticipating Social Impact through the Lens of Early Adopters.', 'Seam work and simulacra of societal impact in networking research: A critical technical practice approach', 'Transdisciplinary collaborations for advancing sustainable and resilient agricultural systems']"
182,0zrqo3B-66wC,zkvW8FQAAAAJ,8,"['Extending Optimal Oblivious Reconfigurable Networks to all N', 'Pareto Optimal Oblivious Circuit-Switched Networks', 'Shale: A practical, scalable oblivious reconfigurable network', 'Semi-Oblivious Reconfigurable Datacenter Networks', 'Optimal oblivious reconfigurable networks', 'Improving Oblivious Reconfigurable Networks with High Probability.', 'Breaking the vlb barrier for oblivious reconfigurable networks', 'Poster: Scalability and congestion control in oblivious reconfigurable networks']"
183,0zrqo3B-66wC,HbFGylgAAAAJ,3,"['Towards an emergency edge supercloud', 'Vegvisir: A partition-tolerant blockchain for the internet-of-things', 'Untethered: Deployable Blockchains for IoT Environments']"
184,VrgmnEcAAAAJ,VX7d5EQAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
185,VrgmnEcAAAAJ,FsBCAfgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
186,VrgmnEcAAAAJ,Rh16nsIAAAAJ,1,['Interactive consensus agreement games for labeling images']
187,VrgmnEcAAAAJ,HbFGylgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
188,QJwabfEAAAAJ,ESJILIEAAAAJ,1,"['Robotic Barrier Construction through Weaved, Inflatable Tubes']"
189,QJwabfEAAAAJ,Iiut4KYAAAAJ,1,['Demo hour']
190,FJ7im7AAAAAJ,K2WfIlsAAAAJ,2,"['JoinGym: An Efficient Join Order Selection Environment', 'JoinGym: An Efficient Query Optimization Environment for Reinforcement Learning']"
191,dxS6iCgAAAAJ,W3hgmHoAAAAJ,1,['Is anyone out there? Unpacking Q&A hashtags on Twitter']
192,u3QxA40AAAAJ,VX7d5EQAAAAJ,3,"['Arbitrariness and social prediction: The confounding role of variance in fair classification', 'Arbitrariness and Prediction: The Confounding Role of Variance in Fair Classification', 'Is My Prediction Arbitrary? Confounding Effects of Variance in Fair Classification']"
193,u3QxA40AAAAJ,IeqjwlIAAAAJ,1,['Under the (neighbor) hood: Hyperlocal Surveillance on Nextdoor']
194,u3QxA40AAAAJ,AH5j40kAAAAJ,2,"['A Programming Language for Estates and Future Interests', 'Property conveyances as a programming language']"
195,u3QxA40AAAAJ,rEjgIskAAAAJ,1,"[""Machine Unlearning Doesn't Do What You Think: Lessons for Generative AI Policy, Research, and Practice""]"
196,u3QxA40AAAAJ,MGVrVSIAAAAJ,1,['Private Hierarchical Governance for Encrypted Messaging']
197,u3QxA40AAAAJ,kjYhZYwAAAAJ,1,['Mutual Benefit: The Case for Sharing Autonomous Vehicle Data with the Public']
198,70vJVxcAAAAJ,nX9D5AoAAAAJ,1,['Distributed learning with sublinear communication']
199,W3hgmHoAAAAJ,6c5cf1wAAAAJ,1,['The tools of management: Adapting historical union tactics to platform-mediated labor']
200,4Z6vo5QAAAAJ,VX7d5EQAAAAJ,3,"['On learning mixtures of heavy-tailed distributions', 'Are randomly grown graphs really random?', 'Foundations of data science']"
201,4Z6vo5QAAAAJ,FsBCAfgAAAAJ,2,"['Information and Computation', 'San Diego Orlando New York Austin Boston London Sydney Tokyo Toronto']"
202,4Z6vo5QAAAAJ,Rh16nsIAAAAJ,1,['Deep manifold traversal: Changing labels with convolutional features']
203,4Z6vo5QAAAAJ,8RVWMycAAAAJ,3,"['Snapshot ensembles: Train 1, get m for free', 'Deep manifold traversal: Changing labels with convolutional features', 'Snapshot ensembles: Train 1, get m for free. arXiv 2017']"
204,4Z6vo5QAAAAJ,zkvW8FQAAAAJ,3,"['On the separability of structural classes of communities', 'A separability framework for analyzing community structure', 'On the structure of communities in networks']"
205,4Z6vo5QAAAAJ,5tk1PV8AAAAJ,2,"['Error bounds for correlation clustering', 'Error Bounds for Correlation Clustering (DRAFT)']"
206,VX7d5EQAAAAJ,FsBCAfgAAAAJ,1,['The magazine archive includes every article published in Communications of the ACM for over the past 50 years.']
207,VX7d5EQAAAAJ,lNM0S1kAAAAJ,8,"['On modeling human perceptions of allocation policies with uncertain outcomes', 'Roles for computing in social change', 'Designing Algorithmic Delegates', 'On the actionability of outcome prediction', 'Strategic evaluation', 'Mitigating bias in algorithmic hiring: Evaluating claims and practices', 'Using Large Language Models to Promote Health Equity', 'Informational Diversity and Affinity Bias in Team Growth Dynamics']"
